date,Open,High,Low,Close,Adj Close,Volume
2010-09-02,184.399994,186.899994,183.690002,186.410004,186.410004,0
2010-09-03,185.979996,186.889999,184.369995,186.809998,186.809998,0
2010-09-07,186.479996,189.360001,186.479996,187.369995,187.369995,0
2010-09-08,187.589996,189.720001,186.809998,186.820007,186.820007,0
2010-09-09,187.000000,187.389999,182.649994,183.490005,183.490005,0
2010-09-10,183.369995,186.169998,182.610001,185.199997,185.199997,0
2010-09-13,185.820007,187.330002,185.029999,185.630005,185.630005,0
2010-09-14,186.419998,193.210007,186.419998,190.699997,190.699997,0
2010-09-15,190.559998,191.399994,188.940002,190.259995,190.259995,0
2010-09-16,190.839996,193.919998,190.839996,192.830002,192.830002,0
2010-09-17,193.399994,194.110001,191.449997,191.679993,191.679993,0
2010-09-20,192.110001,195.919998,192.110001,194.350006,194.350006,0
2010-09-21,194.139999,195.880005,189.330002,195.580002,195.580002,0
2010-09-22,196.649994,199.330002,196.570007,197.889999,197.889999,0
2010-09-23,197.740005,198.740005,194.720001,196.419998,196.419998,0
2010-09-24,197.250000,199.559998,196.270004,197.080002,197.080002,0
2010-09-27,197.309998,197.639999,195.259995,195.520004,195.520004,0
2010-09-28,195.110001,199.770004,192.020004,199.309998,199.309998,0
2010-09-29,199.369995,200.320007,197.649994,198.940002,198.940002,0
2010-09-30,199.039993,199.550003,193.750000,196.960007,196.960007,0
2010-10-01,197.940002,201.210007,197.940002,200.259995,200.259995,0
2010-10-04,199.869995,199.869995,195.419998,196.770004,196.770004,0
2010-10-05,198.369995,204.449997,198.320007,202.880005,202.880005,0
2010-10-06,203.199997,207.550003,203.199997,206.789993,206.789993,0
2010-10-07,207.110001,207.320007,198.970001,201.300003,201.300003,0
2010-10-08,201.610001,205.330002,201.610001,204.820007,204.820007,0
2010-10-11,204.699997,206.490005,202.539993,204.940002,204.940002,0
2010-10-12,204.720001,204.729996,200.570007,204.179993,204.179993,0
2010-10-13,205.429993,210.820007,205.429993,209.639999,209.639999,0
2010-10-14,209.589996,210.619995,207.389999,208.360001,208.360001,0
2010-10-15,208.139999,208.210007,204.229996,206.059998,206.059998,0
2010-10-18,205.130005,205.889999,202.369995,204.949997,204.949997,0
2010-10-19,203.559998,205.889999,193.910004,195.429993,195.429993,0
2010-10-20,195.800003,200.369995,195.779999,198.789993,198.789993,0
2010-10-21,198.860001,201.779999,194.300003,196.479996,196.479996,0
2010-10-22,196.539993,196.850006,194.059998,196.820007,196.820007,0
2010-10-25,198.350006,202.020004,198.320007,199.619995,199.619995,0
2010-10-26,199.179993,201.380005,196.960007,200.410004,200.410004,0
2010-10-27,200.110001,200.110001,193.399994,196.529999,196.529999,0
2010-10-28,196.699997,202.570007,196.699997,201.600006,201.600006,0
2010-10-29,201.850006,205.070007,201.750000,204.300003,204.300003,0
2010-11-01,205.100006,206.570007,202.949997,204.860001,204.860001,0
2010-11-02,205.240005,207.190002,204.789993,206.309998,206.309998,0
2010-11-03,206.199997,206.240005,200.850006,204.500000,204.500000,0
2010-11-04,206.169998,214.460007,206.169998,214.110001,214.110001,0
2010-11-05,213.820007,217.789993,213.089996,214.910004,214.910004,0
2010-11-08,214.660004,220.610001,214.039993,220.169998,220.169998,0
2010-11-09,221.979996,227.080002,212.419998,214.369995,214.369995,0
2010-11-10,215.059998,219.690002,212.399994,219.600006,219.600006,0
2010-11-11,219.669998,222.160004,217.630005,222.029999,222.029999,0
2010-11-12,221.600006,221.600006,213.210007,216.100006,216.100006,0
2010-11-15,216.389999,216.869995,212.630005,212.839996,212.839996,0
2010-11-16,212.539993,212.550003,204.600006,206.729996,206.729996,0
2010-11-17,206.500000,210.639999,206.089996,207.190002,207.190002,0
2010-11-18,209.250000,213.330002,209.250000,210.789993,210.789993,0
2010-11-19,210.630005,212.889999,208.720001,212.369995,212.369995,0
2010-11-22,211.880005,215.210007,210.649994,214.729996,214.729996,0
2010-11-23,213.580002,214.429993,211.139999,212.500000,212.500000,0
2010-11-24,213.309998,214.710007,212.320007,213.509995,213.509995,0
2010-11-26,212.550003,212.580002,208.750000,209.789993,209.789993,0
2010-11-29,209.229996,211.320007,205.880005,210.800003,210.800003,0
2010-11-30,210.979996,215.570007,210.500000,213.169998,213.169998,0
2010-12-01,214.559998,217.690002,213.619995,217.470001,217.470001,0
2010-12-02,217.580002,222.330002,217.580002,220.830002,220.830002,0
2010-12-03,221.039993,226.889999,221.020004,225.270004,225.270004,0
2010-12-06,225.300003,229.190002,225.289993,228.759995,228.759995,0
2010-12-07,229.300003,232.720001,224.960007,225.179993,225.179993,0
2010-12-08,224.910004,225.009995,219.190002,220.449997,220.449997,0
2010-12-09,220.899994,223.369995,220.820007,222.210007,222.210007,0
2010-12-10,222.169998,223.960007,219.990005,223.449997,223.449997,0
2010-12-13,224.000000,228.509995,224.000000,225.779999,225.779999,0
2010-12-14,225.979996,227.369995,223.899994,225.089996,225.089996,0
2010-12-15,224.740005,224.750000,220.750000,221.199997,221.199997,0
2010-12-16,221.460007,221.500000,216.520004,218.289993,218.289993,0
2010-12-17,218.490005,219.559998,216.360001,219.009995,219.009995,0
2010-12-20,219.500000,221.699997,218.429993,220.460007,220.460007,0
2010-12-21,221.190002,221.589996,219.020004,220.800003,220.800003,0
2010-12-22,220.750000,221.289993,219.039993,219.149994,219.149994,0
2010-12-23,218.710007,222.250000,217.470001,221.259995,221.259995,0
2010-12-27,220.940002,221.020004,218.669998,220.500000,220.500000,0
2010-12-28,221.990005,225.490005,221.979996,224.889999,224.889999,0
2010-12-29,225.089996,226.250000,224.270004,225.669998,225.669998,0
2010-12-30,225.869995,226.860001,223.820007,224.190002,224.190002,0
2010-12-31,224.929993,227.259995,224.539993,226.580002,226.580002,0
2011-01-03,227.500000,228.850006,222.750000,223.750000,223.750000,0
2011-01-04,223.000000,223.009995,214.720001,219.000000,219.000000,0
2011-01-05,217.839996,217.869995,213.509995,215.839996,215.839996,0
2011-01-06,215.919998,216.080002,210.179993,210.990005,210.990005,0
2011-01-07,210.729996,214.320007,210.020004,211.300003,211.300003,0
2011-01-10,211.300003,212.869995,209.679993,212.500000,212.500000,0
2011-01-11,213.320007,216.669998,213.309998,216.369995,216.369995,0
2011-01-12,216.679993,216.860001,213.940002,216.149994,216.149994,0
2011-01-13,216.309998,216.320007,207.839996,208.740005,208.740005,0
2011-01-14,208.100006,208.100006,204.100006,205.720001,205.720001,0
2011-01-18,206.559998,209.059998,206.559998,208.369995,208.369995,0
2011-01-19,209.169998,210.270004,204.850006,205.559998,205.559998,0
2011-01-20,203.429993,203.429993,198.149994,202.259995,202.259995,0
2011-01-21,201.929993,203.410004,199.960007,200.119995,200.119995,0
2011-01-24,199.889999,202.720001,197.449997,198.529999,198.529999,0
2011-01-25,197.039993,197.660004,194.600006,196.830002,196.830002,0
2011-01-26,196.789993,204.410004,196.779999,204.039993,204.039993,0
2011-01-27,204.000000,204.509995,197.389999,198.800003,198.800003,0
2011-01-28,198.800003,202.830002,198.800003,199.710007,199.710007,0
2011-01-31,199.720001,201.270004,197.899994,199.919998,199.919998,0
2011-02-01,201.440002,206.389999,201.440002,206.289993,206.289993,0
2011-02-02,206.300003,206.710007,202.899994,204.039993,204.039993,0
2011-02-03,204.490005,209.190002,202.210007,208.839996,208.839996,0
2011-02-04,209.500000,210.330002,206.369995,207.250000,207.250000,0
2011-02-07,207.800003,209.410004,205.809998,206.050003,206.050003,0
2011-02-08,206.809998,210.149994,206.740005,209.800003,209.800003,0
2011-02-09,209.740005,210.610001,205.029999,206.289993,206.289993,0
2011-02-10,205.089996,205.839996,201.910004,204.490005,204.490005,0
2011-02-11,204.270004,206.860001,203.089996,203.729996,203.729996,0
2011-02-14,205.050003,208.580002,205.009995,208.119995,208.119995,0
2011-02-15,208.729996,210.940002,208.649994,209.789993,209.789993,0
2011-02-16,210.029999,211.399994,208.259995,211.399994,211.399994,0
2011-02-17,211.220001,212.880005,210.630005,212.559998,212.559998,0
2011-02-18,212.710007,215.320007,212.169998,212.449997,212.449997,0
